流域,1990年耕地地下水蓄变量计算_山前侧向补给(亿m³),1990年耕地地下水蓄变量计算_有效降水量(亿m³),1990年耕地地下水蓄变量计算_地表水供给量(亿m³),1990年耕地地下水蓄变量计算_农作物蒸散发量(亿m³),1990年耕地地下水蓄变量计算_1990年地下水蓄变量(亿m³),2010年耕地地下水蓄变量计算_山前侧向补给(亿m³),2010年耕地地下水蓄变量计算_有效降水量(亿m³),2010年耕地地下水蓄变量计算_地表水供给量(亿m³),2010年耕地地下水蓄变量计算_农作物蒸散发量(亿m³),2010年耕地地下水蓄变量计算_2010年地下水蓄变量(亿m³)
北四河下游,0.82,75.58,4.92,80.39,0.93,0.74,66.14,4.28,82.81,-11.65
子牙河流域,2.13,53.58,4.83,71.60,-11.06,2.03,49.97,4.69,83.30,-26.61
徒骇马颊河,-,99.37,15.37,126.86,-12.12,-,93.80,15.07,146.88,-38.01
大清河流域,2.43,64.09,4.11,79.49,-8.86,2.32,59.83,4.05,89.61,-23.41
漳卫河流域,1.12,28.02,4.60,33.87,-0.13,1.10,26.00,4.44,37.82,-6.28
黑龙港运东,-,74.84,1.45,90.75,-14.46,-,70.48,1.40,101.74,-29.86
黄河下游流域,0.91,81.03,83.20,96.84,68.30,0.91,78.68,84.37,107.64,56.32
淮河上游,1.68,250.79,35.25,259.67,28.05,1.65,240.80,49.42,275.49,16.38
淮河中游,-,193.86,63.65,188.41,69.10,-,187.01,68.12,191.17,63.96
淮河下游,-,168.29,38.00,151.61,54.68,-,157.78,40.75,154.12,44.41
南四湖,-,60.37,55.77,67.58,48.56,-,55.92,58.07,71.45,42.54