平原区,含水岩组,面积 (km²),含水层厚度/水头高 (m),给水度/弹性释水系数,储存量 (10⁴m³)
松嫩平原,第四系潜水,183247,含水层厚度: 5~46,给水度: 0.04~0.28,4490.78
松嫩平原,第四系承压水,93496.87,"含水层厚度: 5~100, 弹性水头高度: 20~80","给水度: 0.1~0.2, 弹性释水系数: 0.005~0.01",2063.19
松嫩平原,新近系泰康组承压水,62108.68,"含水层厚度: 5~100, 弹性水头高度: 15~150","给水度: 0.1~0.15, 弹性释水系数: 0.001~0.015",3044.05
松嫩平原,新近系大安组承压水,44904.22,"含水层厚度: 10~90, 弹性水头高度: 36~200","给水度: 0.1~0.12, 弹性释水系数: 0.004~0.005",2565.94
松嫩平原,古近系依安组承压水,24198.88,"含水层厚度: 6~44, 弹性水头高度: 10~210","给水度: 0.1, 弹性释水系数: 0.001",424.31
松嫩平原,白垩系泉头组承压水,88643,"含水层厚度: 50, 弹性水头高度: 75.1","给水度: 0.05, 弹性释水系数: 0.0002",2229.39
辽河平原,第四系潜水,94091,含水层厚度: 15~230,给水度: 0.04~0.26,11473.21
辽河平原,新近系明化镇组承压水,6777.04,含水层厚度 120-346,"给水度: 0.06, 弹性释水系数: 0.011~0.021",1193.7
辽河平原,新近系馆陶组承压水,4767.77,含水层厚度 71.5~274.49,"给水度: 0.04~0.08, 弹性释水系数: 0.001~0.024",876.53
辽河平原,白垩系承压水,6348.62,"含水层厚度: 40, 弹性水头高度: 30~50","给水度: 0.05, 弹性释水系数: 0.000072~0.0007",127.59
三江平原,第四系潜水,40989,含水层厚度: 30~300,给水度: 0.08~0.23,8669.57
三江平原,古近系承压水,39732.76,"含水层厚度: 59, 弹性水头: 210","给水度: 0.05, 弹性释水系数: 0.00027",1194.64
兴凯湖平原,第四系潜水,9019,含水层厚度: 15~90,给水度: 0.08~0.23,1012.41
兴凯湖平原,新近系承压水,11256.86,"含水层厚度: 48, 弹性水头: 90","给水度: 0.04, 弹性释水系数: 0.00024",218.56
逊河平原,第四系潜水,10580,含水层厚度: 1~10,给水度: 0.1~0.23,48.31
海拉尔盆地,第四系潜水,39242,含水层厚度: 3~45,给水度: 0.04~0.18,621.56
平原区合计,,,,,40253.74